time,open,high,low,close,volume
2025-04-16 16:00:00,84834,85221,84685,85041,105.5619
2025-04-16 17:00:00,85041,85550,83243,83290,460.9795
2025-04-16 18:00:00,83290,84475,83289,84013,357.8034
2025-04-16 19:00:00,84013,84479,83794,84356,266.4689
2025-04-16 20:00:00,84356,84658,84237,84300,163.1706
2025-04-16 21:00:00,84300,84685,84243,84541,87.1688
2025-04-16 22:00:00,84541,84593,84301,84465,42.71129999999999
2025-04-16 23:00:00,84465,84486,84027,84042,43.2423
2025-04-17 00:00:00,84042,84221,83941,84221,44.97660000000001
2025-04-17 01:00:00,84221,84499,84121,84339,28.5742
2025-04-17 02:00:00,84339,84339,84033,84279,32.2434
2025-04-17 03:00:00,84279,84300,83811,84003,45.0432
2025-04-17 04:00:00,84003,84193,83907,84162,51.4254
2025-04-17 05:00:00,84162,84504,84106,84396,32.575
2025-04-17 06:00:00,84396,84884,84323,84795,71.1448
2025-04-17 07:00:00,84795,85061,84606,84684,86.1246
2025-04-17 08:00:00,84684,84780,84396,84453,84.9593
2025-04-17 09:00:00,84453,84520,84347,84472,44.9664
2025-04-17 10:00:00,84472,84511,84178,84364,41.0911
2025-04-17 11:00:00,84364,84758,84278,84573,56.6256
2025-04-17 12:00:00,84573,84866,84573,84766,91.8521
2025-04-17 13:00:00,84766,84766,84315,84470,199.3896
2025-04-17 14:00:00,84470,84470,83731,84085,250.5409
2025-04-17 15:00:00,84085,84695,84085,84532,135.7125
2025-04-17 16:00:00,84532,85082,84400,84933,197.0681
2025-04-17 17:00:00,84933,85206,84776,85112,113.6496
2025-04-17 18:00:00,85112,85475,84900,84900,222.4985000000001
2025-04-17 19:00:00,84900,85119,84506,84853,165.2475
2025-04-17 20:00:00,84853,85144,84847,85134,62.5522
2025-04-17 21:00:00,85134,85137,84889,85063,28.5389
2025-04-17 22:00:00,85063,85104,84733,84733,31.5069
2025-04-17 23:00:00,84733,85016,84733,84939,17.3482
2025-04-18 00:00:00,84939,85018,84735,84817,33.65290000000001
2025-04-18 01:00:00,84817,85133,84817,84925,30.8676
2025-04-18 02:00:00,84925,84979,84814,84901,26.8647
2025-04-18 03:00:00,84901,84904,84743,84838,24.2813
2025-04-18 04:00:00,84838,84850,84604,84670,35.61900000000001
2025-04-18 05:00:00,84670,84757,84525,84752,24.5416
2025-04-18 06:00:00,84752,84776,84601,84723,14.1401
2025-04-18 07:00:00,84723,84745,84419,84659,76.582
2025-04-18 08:00:00,84659,84772,84609,84642,21.1518
2025-04-18 09:00:00,84642,84647,84521,84556,23.2489
2025-04-18 10:00:00,84556,84700,84492,84538,86.7079999999993
2025-04-18 11:00:00,84538,84682,84475,84672,40.4182
2025-04-18 12:00:00,84672,84733,84608,84637,12.2959
2025-04-18 13:00:00,84637,84637,84472,84572,38.3474
2025-04-18 14:00:00,84572,84623,84388,84586,47.4599
2025-04-18 15:00:00,84586,84613,84325,84379,112.3097
2025-04-18 16:00:00,84379,84564,84306,84486,69.2326
2025-04-18 17:00:00,84486,84600,84376,84572,40.2404
2025-04-18 18:00:00,84572,84645,84503,84609,22.42
2025-04-18 19:00:00,84609,84636,84500,84554,18.7238
2025-04-18 20:00:00,84554,84623,84465,84515,34.34639999999999
2025-04-18 21:00:00,84515,84688,84485,84621,13.5106
2025-04-18 22:00:00,84621,84637,84424,84516,31.3084
2025-04-18 23:00:00,84516,84516,84335,84464,58.6818
2025-04-19 00:00:00,84464,84474,84358,84413,22.0609
2025-04-19 01:00:00,84413,84591,84413,84542,20.0809
2025-04-19 02:00:00,84542,84803,84494,84785,80.5962
2025-04-19 03:00:00,84785,84992,84776,84885,69.8517
2025-04-19 04:00:00,84885,85298,84881,85039,148.0382
2025-04-19 05:00:00,85039,85193,84990,85095,33.47249999999999
2025-04-19 06:00:00,85095,85120,84893,84935,85.401
2025-04-19 07:00:00,84935,85269,84927,85226,59.3623
2025-04-19 08:00:00,85226,85416,85125,85324,58.9039
2025-04-19 09:00:00,85324,85472,85241,85338,89.0247
2025-04-19 10:00:00,85338,85363,85168,85270,41.3908
2025-04-19 11:00:00,85270,85304,85137,85234,28.3693
2025-04-19 12:00:00,85234,85340,85194,85299,17.9542
2025-04-19 13:00:00,85299,85500,85213,85488,35.4628
2025-04-19 14:00:00,85488,85500,85352,85404,51.6004
2025-04-19 15:00:00,85404,85702,85071,85202,88.2061
2025-04-19 16:00:00,85202,85320,84690,84850,162.3428
2025-04-19 17:00:00,84850,85252,84831,85234,92.6115
2025-04-19 18:00:00,85234,85337,85126,85145,46.5439
2025-04-19 19:00:00,85145,85198,85010,85094,76.2665
2025-04-19 20:00:00,85094,85264,85012,85195,26.141
